FAST 30 jumps
[18:45:23] junt.c:70> t: 1586265323479, x: -168, y: -744, z: 140
[18:45:24] junt.c:70> t: 1586265323600, x: -39, y: 2848, z: 1001
[18:45:24] junt.c:70> t: 1586265323721, x: 2749, y: -355, z: -341
[18:45:24] junt.c:70> t: 1586265323842, x: -135, y: -62, z: -2
[18:45:24] junt.c:70> t: 1586265323963, x: 1604, y: -3, z: 721
[18:45:24] junt.c:70> t: 1586265324085, x: 671, y: 792, z: 765
[18:45:24] junt.c:70> t: 1586265324206, x: 19, y: 565, z: -32
[18:45:24] junt.c:70> t: 1586265324323, x: 2385, y: 82, z: -231
[18:45:24] junt.c:70> t: 1586265324448, x: 118, y: 105, z: 189
[18:45:24] junt.c:70> t: 1586265324565, x: 258, y: 2401, z: 922
[18:45:25] junt.c:70> t: 1586265324686, x: 2092, y: -261, z: -242
[18:45:25] junt.c:70> t: 1586265324807, x: -156, y: -440, z: -178
[18:45:25] junt.c:70> t: 1586265324928, x: 2704, y: 230, z: 928
[18:45:25] junt.c:70> t: 1586265325049, x: 186, y: 1146, z: 751
[18:45:25] junt.c:70> t: 1586265325170, x: 145, y: 692, z: -57
[18:45:25] junt.c:70> t: 1586265325292, x: 3007, y: -167, z: -332
[18:45:25] junt.c:70> t: 1586265325409, x: -49, y: -230, z: -20
[18:45:26] junt.c:70> t: 1586265325530, x: 38, y: 3999, z: 57
[18:45:26] junt.c:70> t: 1586265325651, x: 2081, y: -443, z: 247
[18:45:26] junt.c:70> t: 1586265325772, x: 162, y: 350, z: 213
[18:45:26] junt.c:70> t: 1586265325893, x: 2145, y: 385, z: 900
[18:45:26] junt.c:70> t: 1586265326014, x: 130, y: 1286, z: 670
[18:45:26] junt.c:70> t: 1586265326135, x: -34, y: 260, z: 95
[18:45:26] junt.c:70> t: 1586265326256, x: 2664, y: 175, z: -272
[18:45:26] junt.c:70> t: 1586265326378, x: -126, y: -196, z: 109
[18:45:27] junt.c:70> t: 1586265326495, x: 410, y: 2252, z: 542
[18:45:27] junt.c:70> t: 1586265326620, x: 2433, y: -442, z: -59
[18:45:27] junt.c:70> t: 1586265326737, x: -192, y: -680, z: 24
[18:45:27] junt.c:70> t: 1586265326858, x: 1816, y: 324, z: 665
[18:45:27] junt.c:70> t: 1586265326979, x: -208, y: 497, z: 274
[18:45:27] junt.c:70> t: 1586265327100, x: 183, y: 634, z: 140
