20 JUMPS REGULAR
[16:38:28] junt.c:146> t: 1586516907547, x: 1010, y: 17, z: 184
[16:38:28] junt.c:146> t: 1586516907668, x: 1016, y: -12, z: 156
[16:38:28] junt.c:146> t: 1586516907790, x: 969, y: 173, z: 60
[16:38:28] junt.c:146> t: 1586516907907, x: 1018, y: 145, z: 142
[16:38:28] junt.c:146> t: 1586516908028, x: 890, y: -125, z: 125
[16:38:28] junt.c:146> t: 1586516908149, x: 1114, y: 406, z: 203
[16:38:29] junt.c:146> t: 1586516908270, x: 1002, y: 101, z: 61
[16:38:29] junt.c:146> t: 1586516908391, x: 1020, y: 74, z: 127
[16:38:29] junt.c:146> t: 1586516908512, x: 982, y: 62, z: 163
[16:38:29] junt.c:146> t: 1586516908632, x: 981, y: 34, z: 166
[16:38:29] junt.c:146> t: 1586516908754, x: 978, y: 0, z: 207
[16:38:29] junt.c:146> t: 1586516908875, x: 981, y: 23, z: 238
[16:38:29] junt.c:146> t: 1586516908997, x: 968, y: 32, z: 224
[16:38:29] junt.c:146> t: 1586516909118, x: 985, y: 65, z: 213
[16:38:29] junt.c:146> t: 1586516909235, x: 972, y: 61, z: 213
[16:38:30] junt.c:146> t: 1586516909360, x: 970, y: 57, z: 197
[16:38:30] junt.c:146> t: 1586516909477, x: 982, y: 76, z: 187
[16:38:30] junt.c:146> t: 1586516909601, x: 973, y: 69, z: 174
[16:38:30] junt.c:146> t: 1586516909719, x: 969, y: 83, z: 187
[16:38:30] junt.c:146> t: 1586516909840, x: 976, y: 82, z: 177
[16:38:30] junt.c:146> t: 1586516909961, x: 975, y: 96, z: 177
[16:38:30] junt.c:146> t: 1586516910083, x: 951, y: 119, z: 165
[16:38:31] junt.c:146> t: 1586516910204, x: 1131, y: 449, z: 88
[16:38:31] junt.c:146> t: 1586516910325, x: 1976, y: 211, z: 115
[16:38:31] junt.c:146> t: 1586516910446, x: 177, y: 441, z: 500
[16:38:31] junt.c:146> t: 1586516910567, x: 1304, y: -121, z: 113
[16:38:31] junt.c:146> t: 1586516910688, x: 2137, y: 701, z: -107
[16:38:31] junt.c:146> t: 1586516910809, x: 232, y: 488, z: 500
[16:38:31] junt.c:146> t: 1586516910930, x: 67, y: 2780, z: 115
[16:38:31] junt.c:146> t: 1586516911050, x: 1883, y: 499, z: 183
[16:38:31] junt.c:146> t: 1586516911168, x: 156, y: 738, z: 642
[16:38:31] junt.c:146> t: 1586516911290, x: -62, y: -212, z: 210
[16:38:32] junt.c:146> t: 1586516911411, x: 1977, y: 380, z: 198
[16:38:32] junt.c:146> t: 1586516911532, x: 1444, y: -24, z: 14
[16:38:32] junt.c:146> t: 1586516911653, x: -70, y: -473, z: -383
[16:38:32] junt.c:146> t: 1586516911774, x: 310, y: 373, z: 1083
[16:38:32] junt.c:146> t: 1586516911895, x: 1859, y: 168, z: 89
[16:38:32] junt.c:146> t: 1586516912016, x: 167, y: 94, z: 244
[16:38:32] junt.c:146> t: 1586516912137, x: 2411, y: -8, z: -296
[16:38:32] junt.c:146> t: 1586516912258, x: 1877, y: 764, z: 32
