[17:34:14] junt.c:77> Done initializing, pushed window: 0x20018c34
[17:34:24] junt.c:66> t: 1586088264418, x: 2338, y: 409, z: 143
[17:34:24] junt.c:66> t: 1586088264540, x: 286, y: 353, z: 583
[17:34:24] junt.c:66> t: 1586088264661, x: 104, y: 52, z: -149
[17:34:25] junt.c:66> t: 1586088264782, x: 1752, y: 617, z: 236
[17:34:25] junt.c:66> t: 1586088264903, x: 1744, y: 167, z: 6
[17:34:25] junt.c:66> t: 1586088265024, x: 74, y: 8, z: -45
[17:34:25] junt.c:66> t: 1586088265144, x: 1615, y: 612, z: 596
[17:34:25] junt.c:66> t: 1586088265266, x: 1368, y: 359, z: 776
[17:34:25] junt.c:66> t: 1586088265387, x: 569, y: 854, z: 1134
[17:34:25] junt.c:66> t: 1586088265508, x: 204, y: 235, z: 317
[17:34:25] junt.c:66> t: 1586088265629, x: 1330, y: 102, z: 1015
[17:34:25] junt.c:66> t: 1586088265750, x: 2480, y: -166, z: 262
[17:34:25] junt.c:66> t: 1586088265872, x: 135, y: 67, z: 277
[17:34:26] junt.c:66> t: 1586088265989, x: -16, y: 257, z: 62
[17:34:26] junt.c:66> t: 1586088266114, x: 2152, y: 161, z: 407
[17:34:26] junt.c:66> t: 1586088266231, x: 1789, y: -107, z: -207
[17:34:26] junt.c:66> t: 1586088266351, x: 126, y: 5, z: -175
[17:34:26] junt.c:66> t: 1586088266473, x: 51, y: 2206, z: 3610
[17:34:26] junt.c:66> t: 1586088266594, x: 1130, y: 502, z: 613
[17:34:26] junt.c:66> t: 1586088266715, x: 1086, y: -201, z: -241
[17:34:26] junt.c:66> t: 1586088266836, x: -18, y: 45, z: -45
[17:34:27] junt.c:66> t: 1586088266958, x: 1417, y: -565, z: -688
[17:34:27] junt.c:66> t: 1586088267079, x: 2106, y: 65, z: 767
[17:34:27] junt.c:66> t: 1586088267200, x: 68, y: 835, z: 1759
[17:34:27] junt.c:66> t: 1586088267321, x: 3, y: -36, z: -51
[17:34:27] junt.c:66> t: 1586088267442, x: 1999, y: -151, z: 873
[17:34:27] junt.c:66> t: 1586088267563, x: 2031, y: 3, z: 478
[17:34:27] junt.c:66> t: 1586088267684, x: 237, y: 738, z: 1121
[17:34:27] junt.c:66> t: 1586088267805, x: -10, y: 131, z: -189
[17:34:27] junt.c:66> t: 1586088267922, x: 2563, y: 59, z: 34
[17:34:28] junt.c:66> t: 1586088268047, x: 1832, y: -120, z: 78
[17:34:28] junt.c:66> t: 1586088268165, x: 137, y: 255, z: 67
[17:34:28] junt.c:66> t: 1586088268286, x: 32, y: 157, z: 522
[17:34:28] junt.c:66> t: 1586088268407, x: 1600, y: 578, z: 568
[17:34:28] junt.c:66> t: 1586088268528, x: 664, y: -116, z: -291
[17:34:28] junt.c:66> t: 1586088268649, x: -152, y: 100, z: -60
[17:34:28] junt.c:66> t: 1586088268770, x: 1333, y: 379, z: -1626
[17:34:29] junt.c:66> t: 1586088268891, x: 2372, y: 56, z: 744
[17:34:29] junt.c:66> t: 1586088269012, x: 147, y: 540, z: 2264
[17:34:29] junt.c:66> t: 1586088269133, x: 47, y: -30, z: 151
[17:34:29] junt.c:66> t: 1586088269254, x: 716, y: -558, z: 194
[17:34:29] junt.c:66> t: 1586088269375, x: 2524, y: 586, z: 247
