[18:28:03] junt.c:70> t: 1586264283406, x: 862, y: -2072, z: 225
[18:28:04] junt.c:70> t: 1586264283527, x: 1673, y: 689, z: 314
[18:28:04] junt.c:70> t: 1586264283648, x: 375, y: 536, z: 223
[18:28:04] junt.c:70> t: 1586264283769, x: -39, y: -461, z: -291
[18:28:04] junt.c:70> t: 1586264283890, x: 1864, y: 1084, z: -693
[18:28:04] junt.c:70> t: 1586264284011, x: 1613, y: -385, z: -358
[18:28:04] junt.c:70> t: 1586264284128, x: 24, y: 287, z: 140
[18:28:05] junt.c:70> t: 1586264284250, x: 889, y: -2326, z: 1149
[18:28:05] junt.c:70> t: 1586264284371, x: 2218, y: 500, z: 532
[18:28:05] junt.c:70> t: 1586264284492, x: 230, y: 686, z: 252
[18:28:05] junt.c:70> t: 1586264284613, x: 87, y: 394, z: 52
[18:28:05] junt.c:70> t: 1586264284734, x: 1497, y: 461, z: 194
[18:28:05] junt.c:70> t: 1586264284855, x: 1188, y: -323, z: -17
[18:28:05] junt.c:70> t: 1586264284976, x: 168, y: 19, z: 141
[18:28:05] junt.c:70> t: 1586264285097, x: 1765, y: -3855, z: 206
[18:28:05] junt.c:70> t: 1586264285218, x: 2646, y: 344, z: 227
[18:28:05] junt.c:70> t: 1586264285339, x: 150, y: 0, z: 264
[18:28:05] junt.c:70> t: 1586264285457, x: 238, y: 558, z: 171
[18:28:06] junt.c:70> t: 1586264285578, x: 1211, y: 399, z: 515
[18:28:06] junt.c:70> t: 1586264285699, x: 560, y: 822, z: 507
[18:28:06] junt.c:70> t: 1586264285820, x: 286, y: -216, z: 267
[18:28:06] junt.c:70> t: 1586264285939, x: 99, y: -1361, z: 144
[18:28:06] junt.c:70> t: 1586264286062, x: 2479, y: 128, z: 134
[18:28:07] junt.c:70> t: 1586264286183, x: 185, y: -146, z: 206
[18:28:07] junt.c:70> t: 1586264286304, x: 139, y: 828, z: 152
[18:28:07] junt.c:70> t: 1586264286425, x: 1875, y: 588, z: 445
[18:28:07] junt.c:70> t: 1586264286546, x: 467, y: 931, z: 946
[18:28:07] junt.c:70> t: 1586264286668, x: 142, y: -46, z: 287
[18:28:07] junt.c:70> t: 1586264286785, x: 678, y: -271, z: 289
[18:28:07] junt.c:70> t: 1586264286906, x: 2690, y: 75, z: -77
[18:28:07] junt.c:70> t: 1586264287027, x: 291, y: -245, z: 99
[18:28:07] junt.c:70> t: 1586264287148, x: 48, y: 289, z: -191
[18:28:07] junt.c:70> t: 1586264287269, x: 2050, y: 641, z: 229
[18:28:07] junt.c:70> t: 1586264287390, x: 454, y: -305, z: -183
[18:28:08] junt.c:70> t: 1586264287511, x: -102, y: -104, z: 159
[18:28:08] junt.c:70> t: 1586264287632, x: 1577, y: -3366, z: 530
[18:28:08] junt.c:70> t: 1586264287753, x: 2365, y: 480, z: 313
[18:28:08] junt.c:70> t: 1586264287875, x: 108, y: 1002, z: 307
[18:28:08] junt.c:70> t: 1586264287996, x: 60, y: 308, z: -4
[18:28:08] junt.c:70> t: 1586264288113, x: 1660, y: 437, z: -24
[18:28:08] junt.c:70> t: 1586264288234, x: 1730, y: -406, z: -136
[18:28:08] junt.c:70> t: 1586264288355, x: -11, y: 130, z: 144
[18:28:08] junt.c:70> t: 1586264288476, x: 2060, y: -1046, z: 922
[18:28:09] junt.c:70> t: 1586264288597, x: 2283, y: 743, z: 214
[18:28:09] junt.c:70> t: 1586264288718, x: 138, y: 1808, z: 867
[18:28:09] junt.c:70> t: 1586264288839, x: -42, y: -123, z: -140
[18:28:09] junt.c:70> t: 1586264288960, x: 2590, y: -642, z: 239
[18:28:09] junt.c:70> t: 1586264289082, x: 2305, y: 97, z: 9
[18:28:09] junt.c:70> t: 1586264289199, x: 48, y: 339, z: -22
[18:28:09] junt.c:70> t: 1586264289320, x: -104, y: 1369, z: -626
[18:28:09] junt.c:70> t: 1586264289441, x: 1729, y: 765, z: -75
[18:28:10] junt.c:70> t: 1586264289562, x: 670, y: -299, z: 266
[18:28:10] junt.c:70> t: 1586264289683, x: -23, y: -5, z: 234
[18:28:10] junt.c:70> t: 1586264289804, x: 221, y: -2255, z: 415
[18:28:10] junt.c:70> t: 1586264289925, x: 1640, y: 653, z: 401
[18:28:10] junt.c:70> t: 1586264290046, x: 63, y: 625, z: 240
[18:28:10] junt.c:70> t: 1586264290168, x: 19, y: 62, z: 113
[18:28:10] junt.c:70> t: 1586264290289, x: 2277, y: 356, z: 895
[18:28:10] junt.c:70> t: 1586264290410, x: 2065, y: 234, z: -114
[18:28:11] junt.c:70> t: 1586264290527, x: 232, y: 402, z: -35
[18:28:11] junt.c:70> t: 1586264290648, x: -30, y: 82, z: -130
