
[18:42:16] junt.c:70> t: 1586265135980, x: 154, y: 1014, z: 291
[18:42:16] junt.c:70> t: 1586265136101, x: 16, y: 292, z: -135
[18:42:16] junt.c:70> t: 1586265136222, x: 1754, y: 565, z: 60
[18:42:16] junt.c:70> t: 1586265136343, x: 647, y: -232, z: 136
[18:42:17] junt.c:70> t: 1586265136464, x: -80, y: 124, z: 163
[18:42:17] junt.c:70> t: 1586265136585, x: 484, y: -385, z: 18
[18:42:17] junt.c:70> t: 1586265136706, x: 2480, y: 77, z: 106
[18:42:17] junt.c:70> t: 1586265136824, x: 163, y: 565, z: 253
[18:42:17] junt.c:70> t: 1586265136945, x: -23, y: 1591, z: -254
[18:42:17] junt.c:70> t: 1586265137066, x: 1599, y: 637, z: 516
[18:42:17] junt.c:70> t: 1586265137187, x: 407, y: 647, z: 470
[18:42:17] junt.c:70> t: 1586265137308, x: 4, y: -1, z: 460
[18:42:17] junt.c:70> t: 1586265137429, x: 490, y: -96, z: -363
[18:42:18] junt.c:70> t: 1586265137550, x: 2166, y: 29, z: -160
[18:42:18] junt.c:70> t: 1586265137668, x: 272, y: 155, z: 146
[18:42:18] junt.c:70> t: 1586265137789, x: -63, y: 2615, z: 588
[18:42:18] junt.c:70> t: 1586265137910, x: 1926, y: 582, z: 125
[18:42:18] junt.c:70> t: 1586265138031, x: 272, y: 796, z: 413
[18:42:18] junt.c:70> t: 1586265138152, x: 63, y: 192, z: 485
[18:42:18] junt.c:70> t: 1586265138273, x: 1355, y: 195, z: 107
[18:42:18] junt.c:70> t: 1586265138394, x: 2009, y: -338, z: -52
[18:42:18] junt.c:70> t: 1586265138515, x: -18, y: -328, z: -9
[18:42:19] junt.c:70> t: 1586265138636, x: 408, y: 3953, z: 1133
[18:42:19] junt.c:70> t: 1586265138753, x: 2492, y: 533, z: 653
[18:42:19] junt.c:70> t: 1586265138875, x: 558, y: 1016, z: 738
[18:42:19] junt.c:70> t: 1586265138996, x: -10, y: 156, z: 136
[18:42:19] junt.c:70> t: 1586265139117, x: 2470, y: 5, z: 280
[18:42:19] junt.c:70> t: 1586265139238, x: 1681, y: -387, z: -140
[18:42:19] junt.c:70> t: 1586265139359, x: -2, y: -248, z: 95
[18:42:20] junt.c:70> t: 1586265139480, x: 1167, y: 3999, z: 1406
[18:42:20] junt.c:70> t: 1586265139601, x: 1977, y: 862, z: 115
[18:42:20] junt.c:70> t: 1586265139722, x: 390, y: 1466, z: 313
[18:42:20] junt.c:70> t: 1586265139839, x: -82, y: -137, z: 356
[18:42:20] junt.c:70> t: 1586265139960, x: 498, y: -4, z: 140
[18:42:20] junt.c:70> t: 1586265140082, x: 965, y: 397, z: -15
[18:42:20] junt.c:70> t: 1586265140203, x: 643, y: -24, z: 114
[18:42:20] junt.c:70> t: 1586265140324, x: 1036, y: 62, z: 128
[18:42:20] junt.c:70> t: 1586265140445, x: 850, y: 68, z: 210
[18:42:21] junt.c:70> t: 1586265140566, x: 1015, y: -73, z: 105
[18:42:21] junt.c:70> t: 1586265140687, x: 991, y: -4, z: 99
[18:42:21] junt.c:70> t: 1586265140804, x: 990, y: -56, z: 130
[18:42:21] junt.c:70> t: 1586265140925, x: 998, y: -37, z: 79
[18:42:21] junt.c:70> t: 1586265141045, x: 994, y: -49, z: 89
[18:42:21] junt.c:70> t: 1586265141168, x: 979, y: -51, z: 104
[18:42:21] junt.c:70> t: 1586265141289, x: 990, y: -36, z: 89
[18:42:22] junt.c:70> t: 1586265141410, x: 993, y: -36, z: 79
[18:42:22] junt.c:70> t: 1586265141531, x: 994, y: -28, z: 83
[18:42:22] junt.c:70> t: 1586265141652, x: 981, y: -34, z: 94
[18:42:22] junt.c:70> t: 1586265141772, x: 992, y: -64, z: 87
[18:42:22] junt.c:70> t: 1586265141890, x: 1015, y: -63, z: 88
[18:42:23] junt.c:70> t: 1586265142011, x: 894, y: 69, z: 358
[18:42:23] junt.c:70> t: 1586265142132, x: 1036, y: 434, z: -42
[18:42:23] junt.c:70> t: 1586265142252, x: 985, y: 65, z: -2
[18:42:23] junt.c:70> t: 1586265142374, x: 999, y: -141, z: 80
[18:42:23] junt.c:70> t: 1586265142496, x: 942, y: -157, z: 293
[18:42:23] junt.c:70> t: 1586265142617, x: 943, y: 210, z: 574
[18:42:23] junt.c:70> t: 1586265142738, x: 961, y: -91, z: 73
[18:42:23] junt.c:70> t: 1586265142855, x: 990, y: -74, z: 149
[18:42:23] junt.c:70> t: 1586265142976, x: 1005, y: 37, z: 158
[18:42:23] junt.c:70> t: 1586265143096, x: 973, y: -4, z: 203
